army,type,unit,u_suffix,s_type,s_count,speed,melee,range,defense,attack,nerve,rules,options,points
Dwarves,War Engine,Jarrun Bombard,,War Engine,1,4,-,5,5,1,10/12,"Reload!, Blast (D6+3), Piercing(2), Lob It!","Lob It: The unit can choose to fire indirectly with a range of 60"" while ignoring cover, But cannot shoot at targets within 12"" when firing this way.",110
Dwarves,Monster,Battle Driller,,Monster,1,4,4,-,5,D6+6,10/12,"CS(1), Individual, Brutal, Height 1",,70
Dwarves,Monster,Steel Behemoth,,Monster,1,4,5,-,6,D6+20,18/20,"CS(3), Breath Attack (10)",,250
Dwarves,Monster,Greater Earth Elemental,,Monster,1,5,4,-,6,8,-/18,"CS(3), Shambling, Pathfinder",,160
Dwarves,Infantry,Dwarf King,,Hero,1,4,3,-,6,5,13/15,"CS(1), Individual, Inspiring","Mount on large beast for +50 pts increase speed to 7, gain 2 attacks, Thunderous Charge (2), lose individual and change to Large Cavalry",120
Dwarves,Large Cavalry,Dwarf King,w/ Large Beast,Hero,1,7,3,-,6,7,13/15,"CS(1), TC(2), Inspiring","Mount on large beast for +50 pts increase speed to 7, gain 2 attacks, Thunderous Charge (2), lose individual and change to Large Cavalry",170
Dwarves,Infantry,Warsmith,,Hero,1,4,4,4,5,2,11/13,"CS(1), Individual, Inspiring(War Engines Only), Pistol, Piercing 1, War Engines within 3"" have Elite",,85
Dwarves,Infantry,Dwarf Army Standard Bearer,,Hero,1,4,5,-,5,1,10/12,"Individual, Inspiring",,50
Dwarves,Infantry,Berserker Lord,,Hero,1,5,3,-,4,8,-/17,"CS(1), Individual, Inspiring(Berserkers Only)",,120
Dwarves,Cavalry,Berserker Lord,w/ Brock,Hero,1,8,3,-,4,8,-/17,"CS(1), Individual, Inspiring(Berserkers Only), Vicious",,150
Dwarves,Infantry,Herneas the Hunter[1],,Living Legend,1,5,3,3,5,3,12/14,"The Skewerer, CS(2), Individual, Inspiring(Rangers Only), Stealthy, Vanguard, Leader of the Hunt, Pathfinder",,140
Dwarves,Infantry,Garrek Heavyhand[1],,Living Legend,1,4,3,-,6,5,14/16,"Individual, Inspiring, CS(3), Regeneration(6+)",,150
Dwarves,Large Cavalry,Sveri Egilax [1],,Living Legend,1,8,3,-,4,10,-/19,"CS(1), TC(1), Inspiring, Elite, Vicious",,240
Dwarves,Infantry,Stone Priest,,Hero,1,4,4,-,5,2,11/13,"Individual, Inspiring (Earth Elementals only, Surge(8)",(+15 BaneChant(2),105
Dwarves,Infantry,Ranger Captain,,Hero,1,5,3,4,5,3,11/13,"CS(1), Individual, Light CrossBow (Treat as Bow), Vanguard, Pathfinder, Inspiring (Rangers only)",,90
Dwarves,Infantry,Rodrin the Dwarf [1],,Living Legend,1,4,3,-,6,4,12/14,"Individual, Inspiring (Dwarfs Only), CS(3), Headstrong",Any Good or Neutral army,110
Elves,Infantry,Spearmen,,Troop,10,6,4,-,4,10,10/12,Phalanx,,100
Elves,Infantry,Spearmen,,Regiment,20,6,4,-,4,15,14/16,Phalanx,,140
Elves,Infantry,Spearmen,,Horde,40,6,4,-,4,30,21/23,Phalanx,,230
Elves,Infantry,Bowmen,,Troop,10,6,5,4,4,8,10/12,Bows,,115
Elves,Infantry,Bowmen,,Regiment,20,6,5,4,4,10,14/16,Bows,,150
Elves,Infantry,Bowmen,,Horde,40,6,5,4,4,20,21/23,Bows,,250
Elves,Infantry,Sea Guard,,Regiment,20,6,4,5,4,12,14/16,"Bows, Phalanx",,170
Elves,Infantry,Sea Guard,,Horde,40,6,4,5,4,25,21/23,"Bows, Phalanx",,280
Elves,Infantry,Scouts,,Troop,10,6,4,4,3,8,10/12,"Bows, Vanguard, Pathfinder",,130
Elves,Infantry,Scouts,,Regiment,20,6,4,4,3,10,14/16,"Bows, Vanguard, Pathfinder",,175
Elves,Infantry,Palace Guard,,Troop,10,6,3,-,4,10,11/13,CS(1),,105
Elves,Infantry,Palace Guard,,Regiment,20,6,3,-,4,12,15/17,CS(1),,150
Elves,Infantry,Sylvan Kin,,Troop,10,6,4,-,4,20,10/12,"Vanguard, Pathfinder,(No Elite)",,135
Elves,Infantry,Sylvan Kin,,Regiment,20,6,4,-,4,25,14/16,"Vanguard, Pathfinder,(No Elite)",,190
Elves,Large Infantry,Forest Shamblers,,Regiment,3,6,4,-,5,9,-/14,"CS(1), Vanguard, Pathfinder, Shambling, (-Elite)",,125
Elves,Large Infantry,Forest Shamblers,,Horde,6,6,4,-,5,18,-/17,"CS(1), Vanguard, Pathfinder, Shambling, (-Elite)",,190
Elves,Cavalry,Stormwind Cavalry,,Troop,5,9,3,-,5,8,11/13,TC(2),,140
Elves,Cavalry,Stormwind Cavalry,,Regiment,10,9,3,-,5,16,14/16,TC(2),,215
Elves,Cavalry,Silverbreeze Cavalry,,Troop,5,10,5,4,4,7,11/13,"Bows, Nimble",,145
Elves,Large Cavalry,Drakon Riders,,Regiment,3,10,3,-,5,9,12/14,"CS(1), TC(1), Fly",,175
Elves,Large Cavalry,Drakon Riders,,Horde,6,10,3,-,5,18,15/17,"CS(1), TC(1), Fly",,270
Elves,Large Cavalry,War Chariots,,Regiment,3,8,4,4,4,8,12/14,"Bows. TC(2), 50x100mm Base Size",,140
Elves,Large Cavalry,War Chariots,,Horde,6,8,4,4,4,16,15/17,"Bows. TC(2), 50x100mm Base Size",,215
Elves,War Engine,Bolt Thrower,,War Engine,1,6,-,4,4,2,10/12,"Reload!, Blast (1D3), Piercing(2)",,90
Elves,War Engine,Dragon Breath,,War Engine,1,6,-,4,4,*,10/12,Breath Attack(15),,90
Elves,Monster,Tree Herder,,Hero,1,6,3,-,6,7,18/20,"CS(3), Vanguard, Inspiring, Pathfinder, Surge(8), This unit does not have elite",,260
Elves,Infantry,Elven King,,Hero,1,6,3,-,5,5,13/15,"CS(1), Individual, Inspiring",(Sabre-Toothed Pussycat (+10)),120
Elves,Cavalry,Elven King,w/ Mount,Hero,1,9,3,-,5,5,13/15,"CS(1), Individual, Inspiring",(Sabre-Toothed Pussycat (+10)),140
Elves,Large Cavalry,Lord on Drakon,,Hero,1,10,3,-,5,5,13/15,"CS(1), TC(1), Fly, Inspiring",,160
Elves,Monster,Lord on Battle Dragon,,Hero,1,10,3,-,5,10,17/19,"CS(3), Fly, Inspiring, Breath Attack (15)",,310
Elves,Infantry,Elven Prince,,Hero,1,6,3,-,5,3,11/13,"CS(1), Individual",(Sabre-Toothed Pussycat (+10)),60
Elves,Cavalry,Elven Prince,w/ Mount,Hero,1,9,3,-,5,3,11/13,"CS(1), Individual",(Sabre-Toothed Pussycat (+10)),75
Elves,Large Cavalry,Prince on War Chariot,,Hero,1,8,3,4,4,4,11/13,"TC(2), Bow, 50x100mm Base Size",,90
Elves,Infantry,Elven Mage,,Hero,1,6,5,-,4,1,10/12,"Individual, Heal(3)",(+45 LightningBolt(5))(+10 Breath(10))(+30 WindBlast(5))(+15 BaneChant(2)) (Sabre-Toothed Pussycat (+10)),75
Elves,Cavalry,Elven Mage,w/ Mount,Hero,1,9,4,-,4,1,10/12,"Individual, Heal(3)",(+45 LightningBolt(5))(+10 Breath(10))(+30 WindBlast(5))(+15 BaneChant(2)) (Sabre-Toothed Pussycat (+10)),90
Elves,Large Infantry,Forest Warden,,Hero,1,6,4,-,5,3,11/13,"CS(2), Vanguard, Nimble, Pathfinder, (No elite)",,75
Elves,Infantry,Elf Army Standard Bearer,,Hero,1,6,5,-,4,1,10/12,"Individual, Inspiring",,50
Elves,Cavalry,Elf Army Standard Bearer,w/ Mount,Hero,1,6,5,-,4,1,10/12,"Individual, Inspiring",,65
Elves,Infantry,Master Hunter,,Hero,1,7,3,3,4,3,11/13,"Bow. Individual, Piercing(1), Stealthy, Pathfinder, Vanguard",Sabre-Toothed Pussycat (+10),90
Elves,Infantry,The Green Lady[1],,Living Legend,1,10,-,-,6,-,14/16,"Fly, Individual, Inspiring, Regeneration (5+), Heal(8), Sylvan Guard",Sabre-Toothed Pussycat (+10),200
Elves,Infantry,Argus Rodinar[1],,Living Legend,1,-,-,-,5,-,-/13,"Individual, Altar of the Elements",Note this model comes on a 50mm base,50
Twilight Kin,Infantry,Spearmen,,Troop,10,6,4,-,4,10,10/12,Phalanx,,100
Twilight Kin,Infantry,Spearmen,,Regiment,20,6,4,-,4,15,14/16,Phalanx,,140
Twilight Kin,Infantry,Spearmen,,Horde,40,6,4,-,4,30,21/23,Phalanx,,230
Twilight Kin,Infantry,Crossbowmen,,Troop,10,6,5,4,4,8,10/12,Light Crossbows (treat as bows),,115
Twilight Kin,Infantry,Crossbowmen,,Regiment,20,6,5,4,4,10,14/16,Light Crossbows (treat as bows),,150
Twilight Kin,Infantry,Crossbowmen,,Horde,40,6,5,4,4,20,21/23,Light Crossbows (treat as bows),,250
Twilight Kin,Infantry,Buccaneers,,Troop,10,6,4,4,4,10,10/12,Throwing Weapons,,
Twilight Kin,Infantry,Buccaneers,,Regiment,20,6,4,4,4,12,14/16,Throwing Weapons,,
Twilight Kin,Infantry,Shadows,,Troop,10,6,4,4,3,8,10/12,"Bows, Vanguard, Pathfinder",,130
Twilight Kin,Infantry,Shadows,,Regiment,20,6,4,4,3,10,14/16,"Bows, Vanguard, Pathfinder",,175
Twilight Kin,Infantry,Reaper Guard,,Troop,10,6,3,-,4,10,11/13,CS(1),,105
Twilight Kin,Infantry,Reaper Guard,,Regiment,20,6,3,-,4,12,15/17,CS(1),,150
Twilight Kin,Infantry,Blade Dancers,,Troop,10,7,3,-,3,20,11/13,"Brutal, Headstrong",,140
Twilight Kin,Infantry,Blade Dancers,,Regiment,20,7,3,-,3,25,15/17,"Brutal, Headstrong",,200
Twilight Kin,Infantry,Gargoyles*,,Troop,10,10,4,-,3,8,9/11,"Fly, Regeneration (3+), Base Size 25x25mm",,80
Twilight Kin,Infantry,Lower Abyssals*,,Troop,10,5,4,-,4,10,10/12,"Regeneration(5+), Fury (This unit does not have the Vicious special rule)","2H(CS(1), -1 DE)",85
Twilight Kin,Infantry,Lower Abyssals*,,Regiment,20,5,4,-,4,12,14/16,"Regeneration(5+), Fury (This unit does not have the Vicious special rule)","2H(CS(1), -1 DE)",120
Twilight Kin,Infantry,Lower Abyssals*,,Horde,40,5,4,-,4,25,21/23,"Regeneration(5+), Fury (This unit does not have the Vicious special rule)","2H(CS(1), -1 DE)",200
Twilight Kin,Cavalry,Dark Knights,,Troop,5,8,3,-,5,9,11/13,TC(2),,135
Twilight Kin,Cavalry,Dark Knights,,Regiment,10,8,3,-,5,18,14/16,TC(2),,210
Twilight Kin,Cavalry,Heralds of Woe,,Troop,5,10,5,4,4,7,11/13,"Bows, Nimble",,145
Twilight Kin,Large Cavalry,Abyssal Riders,,Regiment,3,7,4,-,5,12,12/14,"CS(1), TC(1), Regeneration (5+)",,170
Twilight Kin,Large Cavalry,Abyssal Riders,,Horde,6,7,4,-,5,24,15/17,"CS(1), TC(1), Regeneration (5+)",,260
Twilight Kin,Large Cavalry,Darkscythe Chariots,,Regiment,3,7,4,4,4,9,12/14,"Light Crossbows. TC(2), 50x100mm Base Size",,135
Twilight Kin,Large Cavalry,Darkscythe Chariots,,Horde,6,7,4,4,4,18,15/17,"Light Crossbows.TC(2), 50x100mm Base Size",,210
Twilight Kin,War Engine,Twilight Bolt Thrower,,War Engine,1,6,-,4,4,2,10/12,"Reload!, Blast (D3), Piercing(2)",,90
Twilight Kin,War Engine,Twilight Dragon Breath,,War Engine,1,6,-,4,4,*,10/12,Breath Attack(15),,90
Twilight Kin,Monster,Hydra,,Monster,1,6,4,-,5,5*,15/17,"CS(2), Regeneration (5+), Pathfinder","*Multiple heads - in addition to the basic 5, the Hydra has a number of additional attacks equal to its current points of Damage.",140
Twilight Kin,Monster,Abyssal Fiend,,Hero,1,7,3,-,5,9,16/18,"CS(2), TC(2) Inspiring, Brutal, Fury (This unit does not have the Vicious special rule)","(+25 LightningBolt(5)), (+50 Fly & Speed 10)",250
Twilight Kin,Monster,Abyssal Fiend,w/ Wings,Hero,1,10,3,-,5,9,16/18,"CS(2), TC(2) Inspiring, Brutal, Fury (This unit does not have the Vicious special rule)","(+25 LightningBolt(5)), (+50 Fly & Speed 10)",300
Twilight Kin,Infantry,Dark Lord,,Hero,1,6,3,-,5,5,13/15,"CS(1), Individual, Inspiring",,120
Twilight Kin,Cavalry,Dark Lord,w/ Mount,Hero,1,9,3,-,5,5,13/15,"CS(1), Individual, Inspiring",,140
Twilight Kin,Large Cavalry,Dark Lord on Black Pegasus,,Hero,1,10,3,-,5,5,13/15,"CS(1), TC(1), Fly, Inspiring",,160
Twilight Kin,Monster,Dark Lord on Black Dragon,,Hero,1,10,3,-,5,10,17/19,"CS(3), Fly, Inspiring, Lightning Bolt(5)",,310
Twilight Kin,Infantry,Dark Avenger,,Hero,1,6,3,-,5,3,11/13,"CS(1), Individual",,60
Twilight Kin,Cavalry,Dark Avenger,w/ Mount,Hero,1,9,3,-,5,3,11/13,"CS(1), Individual",,75
Twilight Kin,Large Cavalry,Dark Avenger,w/ Pegasus,Hero,1,10,3,-,5,3,11/13,"CS(1), Fly",,100
Twilight Kin,Large Cavalry,Dark Avenger on Abyssal Mount,,Hero,1,7,3,-,5,5,11/13,"CS(2), Regeneration (5+)",,95
Twilight Kin,Infantry,High Priestess of the Abyss,,Hero,1,6,5,-,4,1,10/12,"Individual, Breath (10)",(+45 Lightning Bolt(5)(+30 WindBlast(5))(+15 BaneChant(2)) ,70
Twilight Kin,Cavalry,High Priestess of the Abyss,w/ Mount,Hero,1,9,4,-,4,1,10/12,"Individual, Breath (10)",(+45 Lightning Bolt(5)(+30 WindBlast(5))(+15 BaneChant(2)) ,85
Twilight Kin,Infantry,Army Standard Bearer,,Hero,1,6,5,-,4,1,10/12,"Individual, Inspiring",,50
Twilight Kin,Cavalry,Army Standard Bearer,w/ Mount,Hero,1,9,5,-,4,1,10/12,"Individual, Inspiring",,65
Twilight Kin,Infantry,Twilight Assassin,,Hero,1,7,3,3,4,4,11/13,"Throwing Weapons, Stealthy, Vanguard, CS(1), Individual, Piercing(1)",,110
Twilight Kin,Infantry,Ba'su'su the Vile[1],,Living Legend,1,10,3,-,5,8,15/17,"CS(2), Fly, Individual, Inspiring(Gargoyles Only), Regeneration (5+). 25x25mm base",Vile Spawn,220
Goblins,Infantry,Sharpsticks,,Regiment,20,5,5,-,4,15,12/14,Phalanx,,95
Goblins,Infantry,Sharpsticks,,Horde,40,5,5,-,4,30,19/21,Phalanx,,155
Goblins,Infantry,Sharpsticks,,Legion,60,5,5,-,4,35,25/27,Phalanx,,230
Goblins,Infantry,Spitters,,Regiment,20,5,6,5,3,10,12/14,Bows,,85
Goblins,Infantry,Spitters,,Horde,40,5,6,5,3,20,19/21,Bows,,140
Goblins,Infantry,Rabble,,Regiment,20,5,5,-,4,12,12/14,,,75
Goblins,Infantry,Rabble,,Horde,40,5,5,-,4,25,19/21,,,125
Goblins,Infantry,Rabble,,Legion,60,5,5,-,4,30,25/27,,,180
Goblins,Large Infantry,Trolls - No longer Irregular,,Regiment,3,6,4,-,5,9,11/14,"CS(2), Regeneration (5+), (This Unit does not have Yellow-Bellied)",,125
Goblins,Large Infantry,Trolls - No longer Irregular,,Horde,6,6,4,-,5,18,14/17,"CS(2), Regeneration (5+), (This Unit does not have Yellow-Bellied)",,190
Goblins,Cavalry,Mawbeasts Pack*,,Troop,5,6,3,-,3,6,9/11,"CS(1), Nimble, Vicious, Height 1",,60
Goblins,Cavalry,Mawbeasts Pack*,,Regiment,10,6,3,-,3,12,12/14,"CS(1), Nimble, Vicious, Height 1",,95
Goblins,Cavalry,Fleabag Riders,,Troop,5,10,4,-,4,7,9/11,"TC(1), Nimble",,95
Goblins,Cavalry,Fleabag Riders,,Regiment,10,10,4,-,4,14,12/14,"TC(1), Nimble",,145
Goblins,Cavalry,Fleabag Riders,,Horde,20,10,4,-,4,28,17/19,"TC(1), Nimble",,255
Goblins,Cavalry,Fleabag Rider Sniffs,,Troop,5,10,5,5,3,7,9/11,"Bows, Nimble",,95
Goblins,Cavalry,Fleabag Rider Sniffs,,Regiment,10,10,5,5,3,14,12/14,"Bows, Nimble",,145
Goblins,Large Cavalry,Fleabag Chariots,,Regiment,3,9,4,5,4,8,10/12,"TC(2), Bows, 50x100mm base",,110
Goblins,Large Cavalry,Fleabag Chariots,,Horde,6,9,4,5,4,16,13/15,"TC(2), Bows, 50x100mm base",,170
Goblins,War Engine,War-Trombone,,War Engine,1,5,-,-,4,*,8/10,"Breath Attack(12), Piercing(1)",,65
Goblins,War Engine,Big Rocks Thrower,,War Engine,1,5,-,5,4,1,8/10,"Reload!, Blast(D6+2), Piercing(3), Indirect",,80
Goblins,War Engine,Sharpstick Thrower,,War Engine,1,5,-,5,4,2,8/10,"Reload!, Blast(D3), Piercing(2)",,55
Goblins,Monster,Giant,,Monster,1,7,4,-,5,1D6+6,17/19,"CS(3), Brutal, Fury, Never suffers the penalty for hindered charges.",,190
Goblins,Monster,Mincer,,Monster,1,5,4,-,4,1D6+6,9/11,"TC(3), Big Shield, Brutal, Height 3",,80
Goblins,Monster,Slasher,,Monster,1,7,4,5,5,8,14/16,"CS(2), TC(1), (This Unit does not have Yellow-Bellied)","Mount on it a small sharpstick thrower – Range 36”, 2
attacks, Blast (D3), Piercing (2) – for +10 pts.",165
Goblins,Monster,Slasher,w/ Sharpstick Thrower,Monster,1,7,4,5,5,8,14/16,"CS(2), TC(1), (This Unit does not have Yellow-Bellied)","Mount on it a small sharpstick thrower – Range 36”, 2
attacks, Blast (D3), Piercing (2) – for +10 pts.",175
Goblins,Infantry,Biggit,,Hero,1,5,4,4,4,3,9/11,"Bow, Individual, Inspiring","Mount on a Fleabag, increasing Speed to 10 (+15 pts)",60
Goblins,Cavalry,Biggit,w/ Mount,Hero,1,5,4,4,4,3,9/11,"Bow, Individual, Inspiring","Mount on a Fleabag, increasing Speed to 10 (+15 pts)",75
Goblins,Infantry,Flaggit,,Hero,1,5,6,-,4,1,8/10,"Individual, Inspiring","Mount on a Fleabag, increasing Speed to 10 (+15 pts)",40
